0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:12:40 +0200] "POST /WebShopREST/rest/korisnik/ulogovan HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:12:55 +0200] "POST /WebShopREST/rest/korisnik/ulogovan HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:12:55 +0200] "GET /WebShopREST/rest/menadzer/dobaviMenadzera/18 HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:12:55 +0200] "GET /WebShopREST/rest/komentar/dobaviKomentareNaCekanjuZaObjekat/5 HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:12:58 +0200] "PUT /WebShopREST/rest/komentar/azuriraj/8/odobreno HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:13:03 +0200] "GET /WebShopREST/rest/rentACarObjekat/dobaviSve HTTP/1.1" 200 13108
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:13:03 +0200] "GET /WebShopREST/rest/lokacije/dobaviSveAdrese HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:13:03 +0200] "POST /WebShopREST/rest/korisnik/ulogovan HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:13:05 +0200] "GET /WebShopREST/rest/rentACarObjekat/dobaviObjekat/5 HTTP/1.1" 200 2358
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:13:05 +0200] "POST /WebShopREST/rest/korisnik/ulogovan HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:13:05 +0200] "GET /WebShopREST/rest/komentar/dobaviSveKomentarePoIdObjekta/5 HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:13:15 +0200] "GET /WebShopREST/rest/rentACarObjekat/dobaviSve HTTP/1.1" 200 13108
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:13:15 +0200] "GET /WebShopREST/rest/lokacije/dobaviSveAdrese HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:13:15 +0200] "POST /WebShopREST/rest/korisnik/ulogovan HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:13:17 +0200] "GET /WebShopREST/profile.css HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:13:17 +0200] "GET /WebShopREST/rest/korisnik/ucitaj/simona HTTP/1.1" 200 164
